topic,idx,q,a,context,datatype,attitude,group
Gender,10975,When will the current gender antagonism end?,"When one side wins, it ends, whether the man wins or the woman wins.",0,2,2,gender opposition
Gender,13518,When did you feel discrimination against men?,"38 sections women have half a day off, while men",0,2,2,Discrimination against men
Gender,10878,How to view the growing gender antagonism on Weibo?,Have you ever thought about the opposition between men and women?,0,0,0,gender opposition
Gender,10685,How to view the growing gender antagonism on Weibo?,"To be honest, as a guy, I don't think I've ever done anything harmful, and I think I've always been compassionate and kind, when I saw these remarks.",1,0,0,gender opposition
Gender,14408,How can you tell if a guy is gay?,"As long as you mix ACG and have certain creative attributes, it will be more or less a bit double.",1,1,2,Gay
Gender,11559,Is sexism serious in China?,Bar girls are free of charge and beer is free-flowing.,1,2,2,Sexism
Gender,12613,"When you know you're LGBTI, what do you do to make yourself better?",He was seven years younger than me. He has a girlfriend.,0,0,0,LGBTI
Gender,11856,Have female graduates from top universities in China been subjected to sexism in the employment process?,"For those jobs that require frequent business trips to the site to the construction site, you are willing to ask for boys can understand, but a purely literal job also requires boys.",0,2,3,Sexism
Gender,6344,How do people in small counties view the LGBT community?,"I interviewed 18 gay丨 They came out in a small town and gambled on their lives"" original, Chen XIV, ________",0,1,2,LGBT
Gender,6334,How do people in small counties view the LGBT community?,"It's a bit off-topic, but I'd like to talk about how people think about sexual minorities in a ""small county"" in Mexico, because there is an additional option in the gender system: muxe",0,0,0,LGBT
Gender,6175,Is there bullying of LGBT students in Chinese schools?,"I've never encountered it, and everyone is quite busy.",1,1,2,LGBT
Gender,10371,What kind of courage did marriage give you to be a housewife?,"If the other person is a person who allows you to not keep an eye on what he is doing, someone who can find him at any time and can call him immediately if something sad happens at any time.",1,2,3,housewife
Gender,7658,Where is the way out for homosexuals in China?,"I was lucky. The girl has come out with her parents, and her parents understand and accept without hesitation, telling me that no matter what I choose, my happiness is the most important.",1,1,2,Homosexual
Gender,7120,"Why is it so angry to be called ""virtuous""?","Virtuous benchmark honestly? I look silly really, really when the word virtuous is as simple as cooking and laundry?",0,2,3,Disgust virtuousness
Gender,12084,"As a sexual minority, do you ever want to cry?","I really cried out, humiliating.",0,0,0,LGBTI
Gender,8533,What to think of the T in lesbians?,Splitting TP is a troublesome thing.,1,1,3,Lesbian
Gender,11833,Why does sexism persist?,Intelligence is not as innate as men and women.,1,0,0,Sexism
Gender,11449,"Do girls generally do better than boys in college, and why?","You have to see what kind of major, some majors, even if girls have good grades, they can only be an example, not universal",0,2,3,Gender Achievements
Gender,12408,"When you know you're LGBTI, what do you do to make yourself better?","Don't hide, write about your experience so far.",0,0,0,LGBTI
Gender,11135,When will the current gender antagonism end?,"It is impossible to end. From matriarchal society to today, you see when equality has passed.",0,2,3,gender opposition
Gender,9626,"My daughter, I want to change careers to learn UI design, what are the employment prospects?",Doesn't it hurt to promote conscience in this way in your training course?,0,0,0,Women's occupation
Gender,13990,"If women's rights are equal rights, why do they never face up to the oppression of men?",British feminists justify Muslims: Islam stands for true equality.,0,0,0,Discrimination against men
Gender,9278,What are the career prospects for girls who do data analysis? Is data analysis boring?,It is difficult for many laymen to understand the processing technology and operation process of big data.,1,0,0,Women's occupation
Gender,10896,How to view the growing gender antagonism on Weibo?,Who does gender oppositional benefit from? People who love to scold the street are advantageous.,0,2,3,gender opposition
Gender,11153,When will the current gender antagonism end?,"I have seen a street interview in Taiwan before, the topic is to ask young men and women to buy a house or a car first, and most men choose to buy a car first.",1,2,2,gender opposition
Gender,12298,"As a sexual minority, do you ever want to cry?","At school, deep cabinets. Listening to friends gossiping about the girls who came out of the closet upstairs, listening to them talk about how disgusting homosexuals are, how afraid they are to look at themselves",0,2,3,LGBTI
Gender,12382,"How do you view the release of the survey report ""LGBTI Living Conditions in China""?","I am very grateful to these people who are still doing public welfare for LGBT, and it is always good to have a voice.",0,1,2,LGBTI
Gender,11128,When will the current gender antagonism end?,You see that most of the excited people either enter society to benefit or make a splash there without even going to high school.,1,2,3,gender opposition
Gender,12789,Why is discrimination against men in modern China always ignored?,Because the groups that are weaker than men have not solved the problem.,1,2,2,Discrimination against men
Gender,14229,How can you tell if a guy is gay?,"In today's society, although everyone does not discriminate against gay, many times when you see some men dressed more delicately.",0,0,0,Gay
Gender,10648,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,I want to tell a positive story.,0,0,0,housewife
Gender,8078,Is there a gay man who can tell his own story?,"I want to share my story. I won't introduce the plot one by one, I want to talk about how I feel with him.",0,0,0,Homosexual
Gender,8998,Will the three-child policy make women face more discrimination and pressure in the workplace? How should we respond?,"Yes, capital. In the final analysis, in the process of assetization in our country, many obligations and powers that should belong to the ZF have been capitalized.",1,0,0,Women's occupation
Gender,12236,"As a sexual minority, do you ever want to cry?","There is a ""flower"" in the middle of her name, which shows that her parents very much hope that she can become a girl like a flower and jade, in fact, she is not ugly, and she looks like Li Ruotong from several angles.",0,0,0,LGBTI
Gender,10269,How to view highly educated women becoming full-time housewives?,"Some women always feel that equal rights means that women can choose work or home at will, and advocate high-educated women together, but the current society obviously does not have equal rights to this level.",1,1,2,housewife
Gender,14302,How can you tell if a guy is gay?,"My daughter, accidentally found ex little red book, the account concerned on it is basically clothing matching bag skin care perfume fitness gay number, ex likes to dress up, looks is beautiful and handsome.",0,0,0,Gay
Gender,13478,"As a man, when did you experience sexism?",Ladies first! Deep Sexism!,0,2,3,Discrimination against men
Gender,8566,Is there any way to discern LES?,"I'm a very man girl, short hair, boy dress, I do this purely for my own comfort, I explain to others that I am not a grandfather and others listen?",0,0,0,Lesbian
Gender,10089,How to view highly educated women becoming full-time housewives?,"I believe that most highly educated women don't want this, who likes to be at home at a young age?",0,1,3,housewife
Gender,9886,Why do some people (such as some highly educated people such as PhDs) have disdain for housewives?,"If someone, including the PHD mentioned by the subject, has this kind of thought, it can only mean that they may not know themselves well.",1,2,2,housewife
Gender,6594,How can you tell if a girl is lesbian/bisexual?,A thousand faces. You can't make a simple and crude direct judgment at first glance.,1,1,2,Bisexuality
Gender,9968,What if your other half strongly asks you to be a housewife?,"Let him do it, go to work and support the family by himself.",0,1,2,housewife
Gender,7276,"Why is it so angry to be called ""virtuous""?","Because you want others to praise you for being beautiful, but people really don't want to be unconscionable (funny life, gibberish).",0,2,3,Disgust virtuousness
Gender,10442,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,Today is the 12th day of bed rest.,0,0,0,housewife
Gender,14329,How can you tell if a guy is gay?,This is a dating group that belongs to the rainbow boys.,1,1,3,Gay
Gender,8615,Is there any way to discern LES?,"No, hahahaha, can't see it.",0,0,0,Lesbian
Gender,11934,Have female graduates from top universities in China been subjected to sexism in the employment process?,"CSC would rather have an undergraduate male from Dalian University of Science and Technology, not a female with a bachelor's degree in finance in Qingbei.",0,2,2,Sexism
Gender,6618,How can you tell if a girl is lesbian/bisexual?,"Ask her if she likes a mature and stable sister or a lively and cute sister, if she says sister, she can learn more.",0,0,0,Bisexuality
Gender,12435,"When you know you're LGBTI, what do you do to make yourself better?","I want to be good not because I am gay, but even straight men will try to enrich themselves and become good.",1,1,1,LGBTI
Gender,14052,Why are gay men more susceptible to HIV?,Men often come to the department for consultation.,0,0,0,Gay
Gender,10063,How to view highly educated women becoming full-time housewives?,"I barely qualified for the label of high education, and I was not strictly a full-time housewife.",1,0,0,housewife
Gender,11359,"Do girls generally do better than boys in college, and why?","I don't know about it universally, but when I went to college, it seemed that the worst grades were indeed a few men, including me.",1,2,2,Gender Achievements
Gender,13592,When did you feel discrimination against men?,"As Guo belly, you can only win and not lose, the winner takes all, and no one cares if you lose.",1,2,3,Discrimination against men
Gender,8996,Will the three-child policy make women face more discrimination and pressure in the workplace? How should we respond?,"Definitely. The state has planned this policy for macro-level considerations, but as a middle-aged woman, she is now a career planner and a former middle manager of an enterprise.",1,1,2,Women's occupation
Gender,9864,Why do some people (such as some highly educated people such as PhDs) have disdain for housewives?,"If everyone thinks of being a housewife as an ideal, mathematics will slide into a non-mainstream subject…",1,1,3,housewife
Gender,6309,"It has always been difficult to accept the LGBT community, even disgusted. I know that this is not right, and I am also highly educated ","LGBT loathing naturally leaves these groups, objectively speaking to keep oneself happy.",0,1,3,Gender
Gender,12987,Why is a man's body (chastity) less precious than a woman's body (chastity)?,Because there was no ideal paternity test tool in ancient times.,1,2,2,Discrimination against men
Gender,8589,Is there any way to discern LES?,"If a girl she is pink is Liu Yifei, Guo Biting, Yu Yan, Fu Jing, Rocket Girl, Pink Mo, Mama Mu, Liu Lingzi, Zeng Keni and the little idol of the Seine.",0,0,0,Lesbian
Gender,10263,How to view highly educated women becoming full-time housewives?,"Life is never boring. If I had to say, the most important relationships in the world are the relationship between husband and wife&gt; parent-child relationship&gt; parental relationship.",1,2,3,housewife
Gender,11268,"Do girls generally do better than boys in college, and why?","Because everyone in the university basically lives in dormitories, dormitories are divided into men and women.",0,0,0,Gender Achievements
Gender,8902,Will the three-child policy make women face more discrimination and pressure in the workplace? How should we respond?,"There are many ways to do it, but looking at our neighbors Japan and Russia, the preferential policy for fertility is not low, but the birth rate continues to decline, and the European population continues to be Arabized.",1,0,0,Women's occupation
Gender,9469,"Women who are afraid of delaying their careers by having children, how good are their careers?","For a person, if career and feelings can only choose one, it must be that career is more important than feelings.",1,1,2,Women's occupation
Gender,9812,Why do some people (such as some highly educated people such as PhDs) have disdain for housewives?,"I want to ask the landlord first, what basis do you have for pushing your teacher's views to Phd or even the entire group of highly educated people?",0,0,0,housewife
Gender,10843,How to view the growing gender antagonism on Weibo?,"There is a conspiracy theory that provokes gender antagonism and inspires the idea of more female boxers to be independent, making this group more eager to work and more eager to consume than men.",0,2,3,gender opposition
Gender,7214,"Why is it so angry to be called ""virtuous""?","Girls are praised for their virtuousness, which is about the same as boys are praised for being honest.",0,1,2,Disgust virtuousness
Gender,10069,How to view highly educated women becoming full-time housewives?,Knowing that the zz is correct is really enough.,0,0,0,housewife
Gender,9091,What would you like your girlfriend to work for?,"Nurse teacher flight attendant, definitely not in vain.",0,0,0,Women's occupation
Gender,11905,Have female graduates from top universities in China been subjected to sexism in the employment process?,"Ideally, companies with gender equality at the time of recruitment have a large talent base due to the large selection space.",1,0,0,Sexism
Gender,12921,Why is discrimination against men in modern China always ignored?,"Because men on the weak side are generally not treated as people, everyone feels that you deserve to be discriminated against, who makes you not strong enough.",0,2,3,Discrimination against men
Gender,10743,How to view the growing gender antagonism on Weibo?,"On the one hand, the discrimination and oppression that women face in real life make them have to vent on the Internet.",1,2,2,gender opposition
Gender,13581,When did you feel discrimination against men?,"was pitted by a middle-aged female colleague, but no one cared when she was pitted.",0,0,0,Discrimination against men
Gender,10330,What kind of courage did marriage give you to be a housewife?,Nothing gives me the courage to do anything but money.,1,2,3,housewife
Gender,14228,How can you tell if a guy is gay?,"Gay will be very polite with boys, more gentle, and easy to carry.",0,1,2,Gay
Gender,9243,What are the career prospects for girls who do data analysis? Is data analysis boring?,"The old aunt's reply: Young people can learn more, there is no harm.",1,0,0,Women's occupation
Gender,11516,"Do girls generally do better than boys in college, and why?",Are you sure? My friends and I basically went to college where men generally outperformed women.,1,2,3,Gender Achievements
Gender,8427,What to think of the T in lesbians?,"To find out if she is transgender or a true lesbian, gender identity is boy or girl.",0,1,2,Lesbian
Gender,12942,Why is discrimination against men in modern China always ignored?,"It's not that women are afraid that it is not safe for women to go home alone after work at night, so they go to pick them up.",1,0,0,Discrimination against men
Gender,10795,How to view the growing gender antagonism on Weibo?,"And what makes me wonder is that this phenomenon has only recently appeared, why Weibo operation and relevant departments have turned a blind eye to this.",0,0,0,gender opposition
Gender,12340,"As a sexual minority, do you ever want to cry?",I am bisexual and had an in-depth discussion about sexuality with my girlfriend before.,0,0,0,LGBTI
Gender,12283,"As a sexual minority, do you ever want to cry?",I actually cheekily answered (*/ω\*) [blushing to hide my face].,0,0,0,LGBTI
Gender,8846,Will the three-child policy make women face more discrimination and pressure in the workplace? How should we respond?,"There is no way to cope. The response is now to abolish maternity leave, or to allow pregnant women to take maternity leave without pay and to continue their jobs without pay.",1,2,3,Women's occupation
Gender,13157,Why is a man's body (chastity) less precious than a woman's body (chastity)?,"I think on the contrary, men have more chastity than women.",0,2,2,Discrimination against men
Gender,14219,Does homosexuality really make people feel disgusting?,"Like is a feeling, like puppies is also like, like stones is also like, like family, like girls, like boys, aren't they all happy to see, willing to stay together.",0,1,2,Gay
Gender,7191,"Why is it so angry to be called ""virtuous""?","I always thought that virtuous is a good word, how can I feel like an insult, even if my knowledge is shallow, and now there are probably fewer and fewer virtuous women.",0,2,3,Disgust virtuousness
Gender,11998,What are the workarounds for female sexism?,"Personal feelings: If you just want to live easily for yourself, less disturbed by the patriarchal society: climb up, try to climb up, and climb to those areas that are more friendly to women within your own ability.",1,2,3,Sexism
Gender,7389,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?","Well, I communicated with the girl I knew, it seems that this is indeed a very normal point that will make the girl sensitive.",1,0,0,Disgust virtuousness
Gender,13691,Is women's boxing really discriminatory against men?,"No, they just discriminate against men who don't have money.",1,2,2,Discrimination against men
Gender,14024,Why are gay men more prone to promiscuity?,"For men, leaving aside the shackles of morality and so on, men have more needs for sexual diversity.",1,1,3,Gay
Gender,6209,"Why is Japan's otaku culture so developed, but the whole society is not very accepting of LGBT people?",The mood of the spectator and the mood of the person concerned are completely different.,1,2,2,LGBT
Gender,6214,"Why is Japan's otaku culture so developed, but the whole society is not very accepting of LGBT people?","Uninvited, I recommend watching the documentary gaycation, which features interviews with gay people in Japan.",0,0,0,LGBT
Gender,10019,How to view highly educated women becoming full-time housewives?,"Recently, what has been on fire is the good story of Empress Fucha and Qianlong.",0,0,0,housewife
Gender,6962,"Why do some girls dislike the word ""virtuous""?","As a girl, let me tell you why I hate the word virtuous.",0,0,0,Disgust virtuousness
Gender,13417,"As a man, when did you experience sexism?",An activity launched by an Internet café: female members buy drinks and surf the Internet for free.,1,2,3,Discrimination against men
Gender,10082,How to view highly educated women becoming full-time housewives?,How to view highly educated men becoming money-making machines?,1,2,2,housewife
Gender,9528,"Women who are afraid of delaying their careers by having children, how good are their careers?",Again this kind of black feminist topic.,0,2,3,Women's occupation
Gender,12861,Why is discrimination against men in modern China always ignored?,"I don't know how to say it, I just say two points I don't understand, I hope someone can help answer.",0,0,0,Discrimination against men
Gender,7960,How do lesbians make life after 30 not pathetic?,Those who raise this question are doomed to be pathetic.,0,0,0,Homosexual
Gender,12624,"When you know you're LGBTI, what do you do to make yourself better?",This question is my recent experience ahahahaha!,0,0,0,LGBTI
Gender,13727,What do you think of the unabashed discrimination against men by some women?,"I don't think women's unabashed discrimination against men is widespread (so to speak, I haven't seen it), and that many women are just seeking equality with men – equal rights.",0,2,3,Discrimination against men
Gender,9621,"My daughter, I want to change careers to learn UI design, what are the employment prospects?","Whether UI design still has development prospects Talk about the future development of UI design must first understand the history of the Internet, throughout the rapid development of the Internet for more than ten years, roughly through three periods.",0,0,0,Women's occupation
Gender,6242,Is it our freedom to oppose LGBT?,"Unable to reproduce, it should conform to the law and go extinct naturally.",1,1,2,LGBT
Gender,7322,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?","The G-spot should be in the vagina, not in the ear canal and in the eyes.",0,0,0,Disgust virtuousness
Gender,9433,"Women who are afraid of delaying their careers by having children, how good are their careers?","So the questioner's thought is, the career is not very good, what is wrong with delaying you?",1,2,2,Women's occupation
Gender,11199,When will the current gender antagonism end?,What is the fundamental reason for such fierce gender opposition now?,0,2,2,gender opposition
Gender,6216,"Why is Japan's otaku culture so developed, but the whole society is not very accepting of LGBT people?","The news network is broadcast every day, and no one has seen anyone demand their own socialist core values",1,0,0,LGBT
Gender,11289,"Do girls generally do better than boys in college, and why?","Liberal arts universities and science-based universities cannot explain the main problems, but can only explain the problems that exist in one aspect and one aspect.",1,2,2,Gender Achievements
Gender,7651,Where is the way out for homosexuals in China?,"Hurry up to normal, hurry up and legalize gay marriage, otherwise it will be the same as watching a banned film commentary.",0,1,3,Homosexual
Gender,10200,How to view highly educated women becoming full-time housewives?,"This is relatively normal in developed countries such as the United States and Northern Europe, especially left-wing developed areas such as Northern Europe.",1,2,2,housewife
Gender,7632,Where is the way out for homosexuals in China?,"A few practical tips: In general, there are two main strategies.",0,0,0,Homosexual
Gender,13773,"If women's rights are equal rights, why do they never face up to the oppression of men?","Because they don't know what an affirmative family looks like, how can they be expected to face up to the oppression of men?",0,2,2,Discrimination against men
Gender,10781,How to view the growing gender antagonism on Weibo?,"If you have money to take, it is reasonable, after all, it is a business.",1,0,0,gender opposition
Gender,8079,Is there a gay man who can tell his own story?,"My bond with him was really ingenious, we were in the same elementary school, middle school, high school, and even I think our encounter and parting can be described as dramatic.",0,0,0,Homosexual
Gender,12501,"When you know you're LGBTI, what do you do to make yourself better?","Sophomore bend, before the cock is not exaggerated or exquisite, later learned skin care, matching clothes, wearing shoes taste, I am thin, so I began to fitness to shape the body, and then worked hard to learn foreign languages.",0,1,2,LGBTI
Gender,11796,Is sexism serious in China?,"Let's tell a story, it's fake and it's true.",0,0,0,Sexism
Gender,10507,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,"I asked my husband, and he said that I was able to live full-time at home to make him feel very happy and relaxed, more comfortable than several of his dual-career colleagues.",0,1,2,housewife
Gender,8320,How do lesbians make life after 30 not pathetic?,"Hahaha, are married women after the age of 30 very happy?",0,0,0,Lesbian
Gender,7037,"Why is it so angry to be called ""virtuous""?",Talk about the four types of married women around you and how their husbands praise them.,0,0,0,Disgust virtuousness
Gender,13533,When did you feel discrimination against men?,"The bottom male is simply a male, a male who can be disposed of after childbirth.",1,2,2,Discrimination against men
Gender,8240,How do lesbians make life after 30 not pathetic?,"I don't have to reach 30, I feel pathetic until I am not twenty.",0,1,3,Lesbian
Gender,14070,Why are gay men more susceptible to HIV?,"The internal cell structure of male chrysanthemums is different from that of the vagina, and viruses are more likely to invade.",0,0,0,Gay
Gender,12875,Why is discrimination against men in modern China always ignored?,"Teacher recruitment, 6 men and 6 women for the same position, more than 3,000 women and more than 40 men.",1,2,2,Discrimination against men
Gender,10302,What kind of courage did marriage give you to be a housewife?,I forced myself to be a good housewife.,0,1,2,housewife
Gender,12232,"As a sexual minority, do you ever want to cry?","After hooking up with him, yes, after hooking up!",0,0,0,LGBTI
Gender,7843,How do lesbians make life after 30 not pathetic?,"When you are young, earn more money, or directly enter the public government to work in a state-owned enterprise such a stable job, first of all, maintain a stable source of income.",1,0,0,Homosexual
Gender,6282,How to evaluate Zhejiang University's official Weibo voice in support of LGBT people?,"Seeing him praise, seeing him congratulations, seeing him delete it.",1,0,0,LGBT
Gender,10519,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,"Before I went to college, my mother had always been a housewife, and I didn't really agree with Gozanli that men looked down on housewives unless they were rich.",0,1,2,housewife
Gender,11769,Is sexism serious in China?,"Severe. The university was peeing in the toilet, and suddenly a big aunt came in like a no-man's land and began to clean, not caring about the embarrassed rows of boys standing.",0,2,2,Sexism
Gender,6224,Is it G (gay) > L (lesbian) > B (bisexual) > T (transgender) who are LGBT people?,Suspected to be B>L>G>>>>T.,0,2,3,LGBT
Gender,10576,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,"My daughter, has a job, the salary is not low, the management of foreign companies is higher than my husband.",0,0,0,housewife
Gender,14076,Why are gay men more susceptible to HIV?,Because... The female vaginal epithelium is a lamellar squamous epithelium.,1,0,0,Gay
Gender,7466,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?",This girl obviously has not too high emotional intelligence.,0,2,3,Disgust virtuousness
Gender,9261,What are the career prospects for girls who do data analysis? Is data analysis boring?,"Background: After two years in financial consulting in New York, I entered the Internet field in 2013 and started working on a0lytics.",0,0,0,Women's occupation
Gender,7343,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?","Let's put it this way, women in contemporary Chinese society who are able and willing to bear the main or even all financial burden of the family are more optimistic and unlikely to exceed 5%.",1,2,2,Disgust virtuousness
Gender,11500,"Do girls generally do better than boys in college, and why?","When I was in college, just after the start of my freshman year, the class president directly stipulated that only girls could sit in the two rows before class.",1,0,0,Gender Achievements
Gender,10948,How to view the growing gender antagonism on Weibo?,"At present, some people are extremely feminist, some people use women's boxing as a solution due to personal experience or life pressure, and some people are afraid that the world will not be chaotic.",0,2,3,gender opposition
Gender,6203,"Why is Japan's otaku culture so developed, but the whole society is not very accepting of LGBT people?","Because Japan's national civilization is very mature, there is a very stable and conventional division of public, private, and good occasions in society, and everyone does not interfere with each other.",1,0,0,LGBT
Gender,14267,How can you tell if a guy is gay?,"I'm rotten. On a cloudy day, like a long-soaked crop hidden in the city, it is covered with pockmarks.",0,0,0,Gay
Gender,13453,"As a man, when did you experience sexism?",Everyone says that renting a house is only for girls.,0,2,3,Discrimination against men
Gender,12530,"When you know you're LGBTI, what do you do to make yourself better?","I want to be handsome, but unfortunately it's not realistic, I want to be younger so that I can have more choices, and I don't always have to be called uncle by children, but these are unrealistic.",1,1,3,LGBTI
Gender,13041,Why is a man's body (chastity) less precious than a woman's body (chastity)?,Because women are commodities and men are consumers.,1,2,3,Discrimination against men
Gender,9473,"Women who are afraid of delaying their careers by having children, how good are their careers?","This kind of question can also be asked, is it too long and the brain is broken?",0,0,0,Women's occupation
Gender,12473,"When you know you're LGBTI, what do you do to make yourself better?","Think about yourself, and in the year of standing, I didn't think about who to do what to change.",0,0,0,LGBTI
Gender,7760,How do lesbians make life after 30 not pathetic?,"Be brave, be selfish, and be strong, rich, this is commonplace, but practical.",1,0,0,Homosexual
Gender,7354,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?","I can be regarded as a gentle and virtuous warm girl, a warm man who likes to be gentle and careful.",0,0,0,Disgust virtuousness
Gender,9910,Why do some people (such as some highly educated people such as PhDs) have disdain for housewives?,PHD's disdain for housewives can only be said to be because they are stupid.,0,2,3,housewife
Gender,7761,How do lesbians make life after 30 not pathetic?,"I will be 34 years old in a few days this year, and I broke up with my girlfriend who has been with her for more than ten years three years ago, and she chose to get married and have children.",0,0,0,Homosexual
Gender,6799,"Why do some girls dislike the word ""virtuous""?","Under what circumstances would a girl be praised for being ""virtuous""?",0,0,0,Disgust virtuousness
Gender,8584,Is there any way to discern LES?,"Ahhh. Well, take it for myself.",0,0,0,Lesbian
Gender,8523,What to think of the T in lesbians?,I think it's better to divide TP than to divide the attack.,0,2,2,Lesbian
Gender,8281,How do lesbians make life after 30 not pathetic?,"Prepare to die alone, there is no reason for everyone in the world to be nice to me, is it?",1,0,0,Lesbian
Gender,12343,"As a sexual minority, do you ever want to cry?","I feel lonely and sad, but there is no one to talk to.",1,0,0,LGBTI
Gender,6969,"Why do some girls dislike the word ""virtuous""?","This is precisely the true expression of women's delicate and self-interested nature, disgusted with all acts that she pays for others, but wants others to pay for her.",0,2,3,Disgust virtuousness
Gender,7986,How do lesbians make life after 30 not pathetic?,"Write about my feelings, I hope to read it in a few years, I will feel differently.",0,0,0,Homosexual
Gender,8876,Will the three-child policy make women face more discrimination and pressure in the workplace? How should we respond?,"To cope is not to be angry. First, in the actual case, I will give you a calculation, 10 months of pregnancy, I count natural childbirth, maternity leave for 3 months, that is a little more than a year.",0,0,0,Women's occupation
Gender,13944,"If women's rights are equal rights, why do they never face up to the oppression of men?","Because it is men who oppress women, and it is another part of men who oppress men.",1,2,2,Discrimination against men
Gender,11347,"Do girls generally do better than boys in college, and why?",The level of this problem is too inferior.,0,0,0,Gender Achievements
Gender,11043,When will the current gender antagonism end?,Hit until the equal rights fairy and the little wives are cornered.,1,2,3,gender opposition
Gender,7861,How do lesbians make life after 30 not pathetic?,"I really want to answer this question, I am just thirty years old this year, a civil servant in a third-tier city, with a house and a car, and a graduate degree on the job; Married once, childless; Broke up with his ex-girlfriend for two months.",1,0,0,Homosexual
Gender,7013,"Why do some girls dislike the word ""virtuous""?","Because that group of people thought that there was no merit except for virtuousness and barely able to catch up, they were particularly disgusted with virtuousness.",0,2,3,Disgust virtuousness
Gender,14209,Does homosexuality really make people feel disgusting?,"People are always different, some people are more tolerant of differences, while others are more resistant and cannot judge sexual orientation by this.",1,2,2,Gay
