topic,idx,q,a,context,datatype,attitude,group
region,68,Is it normal for Shanghainese to have five million in the family?,"There is so much liquidity in fact, there is not so much, but with fixed assets, as long as there are Shanghai houses, there are basically them, of course, not the suburbs.",0,0,0,Shanghainese
region,1961,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","His ancestral home is Sichuan, and he was born in Heilongjiang.",0,0,0,Northeasterners
region,3440,Why has the reputation of Henan people suddenly improved in the past year?,"76 answers, 21 anonymous, which is good, smaller than before.",0,0,0,Henan people
region,3903,"Jiangxi people immediately went to Zhejiang to study, 90% of the school are Zhejiang people Zhejiang people will have Region discriminationDo you look down on Jiangxi people A little scared?","Zhejiang people do not discriminate against outsiders, but some Zhejiang people will actually be poor (the same discrimination inside and outside the province), but most of them are friendly, and Zhejiang is a good place.",0,2,2,Zhejiang people
region,2778,Have you ever experienced Region discrimination firsthand?,It is highly recommended that you take a look on the Toutiao platform.,0,0,0,Region discrimination
region,4782,"It is said that Chaoshan people are good at business, is it true? What is the manifestation?",It's annoying to do business basically…,1,1,3,Chaoshan people
region,4908,What is everyone's impression of Chaoshan people?,"The biggest feature is honey self-confidence, Chaoshan people generally love to boast about Chaoshan people outside.",0,1,3,Chaoshan people
region,1733,What do Northeasterners think of the Northeasterners?,"The emaciated camel is bigger than the horse, and throughout the country, although there are places such as Chengdu, Chongqing, Kunming and other places in the southwest, urban development is deformed.",1,1,2,Northeasterners
region,1197,What should I pay attention to when working with Shanghainese?,"A native of Nanjing, engaged in store development, he used to work in a Taiwanese company in Shanghai that was mostly Shanghainese, and now he has returned to Nanjing as a large family business owned by everyone.",0,0,0,Shanghainese
region,4027,Why do most Zhejiang people marry only people from the province?,"It's normal to marry someone from this province, anyway, I don't want to marry someone from another province, it's best to be in this city.",1,1,3,Zhejiang people
region,3604,"Through daily contact, do you change your impression of Henan people?","I am mentally wary when I contact Beijing, but after all, Beijing is a national city, and people everywhere will converge, abide by the rules of the big city, and disguise themselves.",0,0,0,Henan people
region,330,Are Shanghainese really richer?,Tell me about what you've heard and felt.,0,0,0,Shanghainese
region,1230,What should I pay attention to when working with Shanghainese?,"In his position, seek his job, don't force it blindly.",1,2,3,Shanghainese
region,4666,Is Region discrimination serious in Zhejiang?,"Coordinates Jiaxing. After all, the older generation's discrimination against foreign provinces is mainly concentrated in the Anhui Jiangxi and Henan areas.",1,2,2,Zhejiang people
region,3065,What do you think of Region discrimination or region bias?,"In fact, I have an incorrect view of three views, moderate region discrimination is a sense of superiority over the traditional culture of my hometown, which is actually beneficial.",0,2,3,Region discrimination
region,324,Are Shanghainese really richer?,"Shanghai Jiading natives. Mom and Dad have no culture, the general staff of the company, there are houses in the town, and the country houses have always been said to be demolished and relocated.",0,0,0,Shanghainese
region,3675,Where is the worst place in China to be hacked by Region discrimination?,"In the first two years, my green onion province was seriously hacked, and in order to fight back against regional blackness, I specially engaged in news and commentary crawling for two months, and I found an interesting situation at that time.",0,2,3,Zhejiang people
region,3770,Where is the worst place in China to be hacked by Region discrimination?,"Previously it was Henan, now it is northeast, and the next is Shandong.",1,2,2,Zhejiang people
region,1347,What should I pay attention to when working with Shanghainese?,"This topic evokes my memories to kill, hahahaha, after graduating from university, I came to Shanghai to work for professional reasons to make a living, and the answer was from Xi'an, and it has been 12 years.",0,0,0,Shanghainese
region,3877,What do provincials think of Zhejiang people?,"Most of our foreign license plates start with Zhejiang XXX, so there is nothing to say about the development of Zhejiang.",0,1,2,Zhejiang people
region,1578,Are Northeasterners a good mix in the South?,Most mix well. The south is much more mixed than the north.,1,2,2,Northeasterners
region,1025,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Non-Shanghai, a native of Hangzhou, occasionally drives to Shanghai.",0,0,0,Shanghainese
region,3076,What do you think of Region discrimination or region bias?,Let's start with a short story I've experienced.,0,0,0,Region discrimination
region,3501,"I don't know why there are always many people scolding Henan people, what the hell did Henan people mess with you? Do Henan people have a grudge against you?","People are divided into groups, high-quality Henan people meet high-quality outsiders, and the composition of sunspots who encounter bad Henan people every day is also doubtful.",0,1,3,Henan people
region,3418,Why has the reputation of Henan people suddenly improved in the past year?,"Because the propaganda department is really powerful, but if you really stay here, you will find that not only has it not improved, but some departments have even become worse.",1,1,3,Henan people
region,4165,Will Zhejiang fall to the second echelon in the near future?,"See what some people feel. Zhejiang is now engaged in the Internet, digital economy, and after a few years, it will decline.",1,1,3,Zhejiang people/Zhejiang
region,4267,Will Zhejiang fall to the second echelon in the near future?,"No, it depends on the speed and strength of the response of the entire Zhejiang Province in this fight against the epidemic, the earliest first-level response, only one death record, the earliest control of the earliest resumption of work, just this, Hangzhou has no mayor.",1,1,2,Zhejiang people
region,4241,Will Zhejiang fall to the second echelon in the near future?,"Zhejiang relies on commerce and the Internet, and if you want to say that this industry is aging, then the three eastern provinces that rely on steel and heavy industry are about to enter the soil.",0,1,3,Zhejiang people
region,4985,How does Chaoshan people feel to you?,"Chaoshan people give me the feeling that this is a very suitable group for drainage, back-pot, war, and venting!",0,1,3,Chaoshan people
region,388,How serious is Region discrimination in Shanghai?,Living in Cuihu Tiandi's discrimination living on Puming Road?,0,2,3,Shanghainese
region,4199,Will Zhejiang fall to the second echelon in the near future?,"You don't know anything about Zhejiang, as long as you check the per capita disposable income of Zhejiang, you will know that Zhejiang people have money and no money.",0,1,2,Zhejiang people
region,3761,Where is the worst place in China to be hacked by Region discrimination?,"Henan people were the most hacked by the region, and Henan people stole manhole covers... How big a deal is this?",0,2,3,Zhejiang people
region,4224,Will Zhejiang fall to the second echelon in the near future?,"Zhejiang is poor in mountains and rivers, there are no resources and no fertile soil, and it is not the first echelon if there are no resources, but what does Zhejiang's economy rely on for such prosperity?",0,1,3,Zhejiang people
region,939,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","It was originally rented in a residential building at the intersection of Jianguo Road, Fuxing Road.",0,0,0,Shanghainese
region,5067,How does Chaoshan people feel to you?,"Without further ado, three words: rich people.",0,0,0,Chaoshan people
region,4893,What is everyone's impression of Chaoshan people?,"In Guangdong, I am proud that I am a Chaoshan person.",0,1,1,Chaoshan people
region,4304,Will Zhejiang fall to the second echelon in the near future?,"We Zhejiang will reach the fourth and fifth echelons, soon!",0,0,0,Zhejiang people
region,3014,Have you ever experienced Region discrimination firsthand?,"I wondered if some people were really obsessed with superiority, and I didn't have to run to write about other people's cities to show something, uh, to prevent you from being fleshed to help you make a code.",0,0,0,Region discrimination
region,258,Are Shanghainese really richer?,"First of all, you asked whether the definition of Shanghainese is broad or narrow.",0,2,2,Shanghainese
region,2133,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","At the beginning, I saw how there was such a problem, the Northeasterners around me are very ordinary family circumstances, click in and see that they are Sichuanese, I can probably understand.",0,1,3,Northeasterners
region,5026,How does Chaoshan people feel to you?,It's good to have more children and read less.,1,1,3,Chaoshan people
region,4547,Is Region discrimination serious in Zhejiang?,"I always thought my hometown of Taizhou, Zhejiang Province was poor.",1,1,2,Region discrimination /Zhejiang people
region,618,How serious is Region discrimination in Shanghai?,A significant part of China's middle class has tried to elevate Region discrimination into the category of racial discrimination.,0,2,3,Shanghainese
region,1995,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","Most of the northeast are so-called iron rice bowls such as civil servants of state-owned enterprises, there is no pressure to spend money, plus it is an only child, and the subject may also go to a relatively wealthy school.",0,1,2,Northeasterners
region,2749,How to get along with Northeasterners on the Internet?,"Whether you get along with Northeasterners or southerners, in the end, making friends and telling sincerity, you have to engage in yin and yang weirdness, and you are not welcome anywhere.",0,2,2,Northeasterners
region,2523,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?","The answer is that the Lord does not have to work hard, some people can't wake up, and when they meet a Northeasterners, they basically hate it for the rest of their lives, and the good traditions you think of Northeasterners will be ignored.",0,2,3,Northeasterners
region,820,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Well, for the first time, I seem to have made a mistake in the examination …",0,0,0,Shanghainese
region,4076,Why do most Zhejiang people marry only people from the province?,"It's more about cultural and linguistic identity, but there are many exceptions, such as my Jiangsu worker, and my wife is a local indigenous in Zhejiang.",1,1,2,Zhejiang people
region,4620,Is Region discrimination serious in Zhejiang?,"There must be it, but whether it is serious or not depends on the environment and personal factors, and cannot be generalized.",1,2,3,Zhejiang people
region,3953,Why do most Zhejiang people marry only people from the province?,"This is correct, looking for objects as much as possible in the province and city.",1,0,0,Zhejiang people
region,1968,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","So it's too easy for the poor not to follow the trend, it's too easy to make a face.",1,2,3,Northeasterners
region,1484,I would like to know what you guys think of Shanghainese?,"Very good colleague, undoubtedly competent and quality (at least most of the people I met).",1,1,2,Shanghainese
region,1601,Are Northeasterners a good mix in the South?,"It's the same everywhere, if not, go abroad.",0,0,0,Northeasterners
region,3905,"Jiangxi people immediately went to Zhejiang to study, 90% of the school are Zhejiang people Zhejiang people will have Region discriminationDo you look down on Jiangxi people A little scared?","What are you afraid of, even if there is, you just do yourself.",1,1,2,Zhejiang people
region,83,Are Shanghainese really richer?,"If you visit Broadband Mountain, then basically everyone earns millions a year, the house is 200 square meters, the BBA goes out, the average person eats 500, and then you will be told that marriage is pinching marriage.",1,1,3,Shanghainese
region,2313,What do you think of Northeasterners?,"In fact, I think that there are many good people in the northeast, who have been in contact with them very well, and it may also be that the level of college entrance examination selection is relatively high, so everyone's basic literacy is relatively high.",0,1,1,Northeasterners
region,3223,Why has the reputation of Henan people suddenly improved in the past year?,"Because they are not bad in the first place, Henan people's bad reputation is a historical reason!",1,1,2,Henan people
region,1712,What do Northeasterners think of the Northeasterners?,"If life rapes you and you are powerless to resist, you must know how to enjoy it,…",1,0,0,Northeasterners
region,3962,Why do most Zhejiang people marry only people from the province?,"People everywhere are mostly married to local people, right?",0,2,2,Zhejiang people
region,250,Are Shanghainese really richer?,"Those who have money or no money still depend on the position of the judge himself, after all, Wang Sicong looks at others almost no money…",1,1,2,Shanghainese
region,1480,I would like to know what you guys think of Shanghainese?,"There is a Shanghai girl of the same age in the office, who is fat but quite exquisite, and the impression has always been a little and contrived, but it is also fine.",0,1,3,Shanghainese
region,4690,Is Region discrimination serious in Zhejiang?,"Hangzhou people crawled through, the chain of discrimination is everywhere, Hangzhou vs Xiaoshan's two-way customs can't be taken, Hangzhou vs Ningbo, and Hangzhou people's disgust and helplessness towards Wenzhou people (people have money).",0,2,3,Zhejiang people
region,1660,What do Northeasterners think of the Northeasterners?,"If there is no Internet, large private enterprises, foreign companies to work, Northeasterners can do foreign affairs.",0,1,2,Northeasterners
region,1717,What do Northeasterners think of the Northeasterners?,"For more than 20 years, the civil affairs of Jinyuan in eastern Liaoning were well known, and the mourning was indifferent, the Song court doubted the north, the people abandoned the king, and the Qing monarch doubted Wu.",0,0,0,Northeasterners
region,4167,Will Zhejiang fall to the second echelon in the near future?,"Breaking the drums and beating thousands of people, the growth of people who hate Zhejiang is visible to the naked eye.",0,0,0,Zhejiang people
region,2800,Have you ever experienced Region discrimination firsthand?,"Thanks for the invitation, Northeasterners. Again, Northeasterners are not an image on Kuaishou.",0,1,3,Region discrimination /Northeasterners
region,866,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","In 2009, during the vacation before going to university, I went to Shanghai for the first time and stayed at my uncle's house for a month.",0,0,0,Shanghainese
region,129,Are Shanghainese really richer?,It depends on what age you're talking about.,0,0,0,Shanghainese
region,1593,Are Northeasterners a good mix in the South?,"Addendum: I answered this question with anger because of the harm that certain people and things have done to me, and I have become disgusted with Tohoku (although I know that I will always rise to the community because of individuals).",1,1,3,Northeasterners
region,3788,Where is the worst place in China to be hacked by Region discrimination?,"That must be Guangxi, until now there has been no anti-regional black mention of Guangxi.",1,2,2,Zhejiang people
region,5071,How does Chaoshan people feel to you?,The two roommates in the dormitory were simply disgusting.,0,1,3,Chaoshan people
region,1789,What do Northeasterners think of the Northeasterners?,"If you don't find a relationship when you do things, you don't need to dredge the leader for the New Year's Festival.",1,1,3,Northeasterners
region,2741,How to get along with Northeasterners on the Internet?,Northeasterners Northwesterners Southerners know Northerners alike.,1,0,0,Northeasterners
region,760,"As a Shanghai drifter, what moment was you shocked by Shanghainese?",Line 4 on a certain day. I went to a company to talk about things.,0,0,0,Shanghainese
region,1674,What do Northeasterners think of the Northeasterners?,An ordinary Liaoning Shenyang native answered a wave.,0,0,0,Northeasterners
region,4844,What is everyone's impression of Chaoshan people?,Is it politically correct to praise Chaoshan people these days?,0,1,3,Chaoshan people
region,3447,"I don't know why there are always many people scolding Henan people, what the hell did Henan people mess with you? Do Henan people have a grudge against you?",I only know that there has always been a wind comment that cannot be communicated.,1,1,3,Henan people
region,4033,Why do most Zhejiang people marry only people from the province?,"Not necessarily, people from other provinces who settle in Zhejiang can also, for example, there are suites in Zhejiang, and it is not the people from other provinces that are excluded, but that the place in the provinces is too far away, and you can't rush over immediately when you encounter something.",1,1,2,Zhejiang people
region,3570,"Speaking of Henan people, what was your first impression?","There is a teacher in WeChat who specializes in answering questions related to graduate school entrance examinations, and today I saw his circle of friends in the circle of friends: My comment: Although I know that the region is not good.",0,0,0,Henan people
region,1658,What do Northeasterners think of the Northeasterners?,I went to school in Changchun and was amazed when I first came to summer.,0,0,0,Northeasterners
region,2199,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","Although the GDP growth rate of the northeast is not good, Sichuan people are also kind to say that Sichuan is more developed than the northeast?",1,1,3,Northeasterners
region,3956,Why do most Zhejiang people marry only people from the province?,"In the past, our Wenzhou was only limited to Lucheng District to find Lucheng District, and looking for other districts was to find outsiders.",1,2,3,Zhejiang people
region,809,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","I just returned from Shanghai in April this year, and after working there for more than two years, I was very reluctant to Shanghai, and it was this work and life experience that made me really fall in love with Mordor.",1,0,0,Shanghainese
region,2902,Have you ever experienced Region discrimination firsthand?,"I'm from Inner Mongolia, and someone asked me if I lived in a yurt, riding a horse to school, the key is that I am Han, and the time to ask this question is about zero years.",0,1,3,Region discrimination
region,2407,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?",I personally like the Northeast and the Northeasterners of the Northeasterners.,0,1,1,Northeasterners/Northeasterners
region,1415,I would like to know what you guys think of Shanghainese?,I'm Shanghainese. There is no need to give an accurate definition of Shanghai's people's customs.,0,1,2,Shanghainese
region,624,How serious is Region discrimination in Shanghai?,I don't feel that serious.,1,2,2,Shanghainese
region,2192,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","Today's ""poverty"" in the northeast is compared with its past self, and although today's northeast is down, the object of comparison is yesterday's self, not the position of the economy in the country.",0,2,3,Northeasterners
